Name,Address,Full Address,Date/Time,District,Station,Shift,Incident Type,Units
F02601250016,4030 Forest Hill Avenue,"4030 Forest Hill Avenue, Richmond, VA",2026-01-25 06:36:19,20,Station 20,B Shift,Structural involvement,"T5, T8, E22, E6, E13, E17, E20, BC4, BC3, AL1, REHAB1"
F02601240090,4307 Custis Road,"4307 Custis Road, Richmond, VA",2026-01-24 18:11:39,25,Station 24,A Shift,Structural involvement,"T9, T7, BC4, E25, BC2, E24, E23, E20, E19, REHAB1, AL1, T3, E18, E26, E17, BC3"
F02601240080,1600 Stansbury Avenue,"1600 Stansbury Avenue, Richmond, VA",2026-01-24 16:32:27,23,Station 23,A Shift,Structural involvement,"T8, E22, T10, E23, E20, E21, E17, CE2, BC4, BC3, AL1, REHAB1"
F02601200018,700 S Lombardy Street,"700 S Lombardy Street, Richmond, VA",2026-01-20 04:14:29,12,Station 12,B Shift,Room and contents fire,"T3, E12, BC2, E10, T7, E1, E5, E18, AL1"
F02601200011,2819 Midlothian,"2819 Midlothian, Richmond, VA",2026-01-20 03:51:32,17,Station 20,B Shift,Structural involvement,"E17, E20, E21, E13, BC3, BC1, AL1, REHAB1, T5, T8, E22, SAFETY1"
F02601160012,210 E Baker Street,"210 E Baker Street, Richmond, VA",2026-01-16 06:23:16,5,Station 05,B Shift,Structural involvement,"T6, T3, SAFETY1, E6, E5, E15, E14, E10, BC3, BC1, AL1, REHAB1"
F02601150117,1124 Canterbury Ridge Road,"1124 Canterbury Ridge Road, Richmond, VA",2026-01-15 22:19:40,23,Station 23,B Shift,Room and contents fire,"T8, T10, SAFETY1, E22, E20, E17, CE2, BC4, BC3, E23, AL1, REHAB1"
F02601110106,704 Freeman Road,"704 Freeman Road, Richmond, VA",2026-01-11 21:58:04,18,Station 18,A Shift,Structural involvement,"T3, SAFETY1, BC3, T7, BC2, E19, E6, E18, E12, E10, REHAB1, AL1, T9, E24, E5, E20, BC1"
F02601110082,300 Beaufont Hills Drive,"300 Beaufont Hills Drive, Richmond, VA",2026-01-11 18:28:55,23,Station 23,A Shift,Room and contents fire,"T8, T9, E17, SAFETY1, E22, E20, BC4, CE9, BC3, E23, AL1, REHAB1"
F02601110011,2801 Barton Avenue,"2801 Barton Avenue, Richmond, VA",2026-01-11 02:01:39,14,Station 14,C Shift,Structural involvement,"T6, T3, SAFETY1, E10, E6, BC1, BC2, E5, E15, E14, E18, AL1, REHAB1"
F02601090083,2416 Columbia Street,"2416 Columbia Street, Richmond, VA",2026-01-09 16:13:55,21,Station 21,,Confined cooking / appliance fire,"T5, T10, SAFETY1, E6, E13, E20, E1, E22, BC1, BC3, AL1"
F02601090008,4026 Midlothian,"4026 Midlothian, Richmond, VA",2026-01-09 03:18:22,20,Station 20,C Shift,Structural involvement,"T5, E17, E23, SAFETY1, T8, E22, E13, BC4, E20, BC3, AL1, REHAB1"
F02601070083,2351 Krouse Street,"2351 Krouse Street, Richmond, VA",2026-01-07 17:05:52,21,Station 21,B Shift,Room and contents fire,"T10, T5, E22, SAFETY1, E17, E20, BC3, E21, BC1, E13, AL1, REHAB1"
